,City,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed,Date
0,Imuris,82.0,30.78,-110.87,61,3,5.01,1594910763
1,Felanitx,75.79,39.47,3.15,69,83,10.29,1594910998
2,Korla,83.62,41.76,86.15,19,5,1.45,1594910998
3,Piranshahr,82.67,36.7,45.14,22,0,8.75,1594910998
4,Saskylakh,54.39,71.92,114.08,49,100,21.07,1594910998
5,Niquelândia,86.11,-14.47,-48.46,27,0,8.68,1594910999
6,Médéa,84.2,36.26,2.75,54,20,20.8,1594910999
7,Bambous Virieux,71.31,-20.34,57.76,73,40,6.93,1594910999
8,Cape Town,66.88,-33.93,18.42,30,0,2.24,1594910731
9,Rikitea,73.45,-23.12,-134.97,84,100,6.69,1594910999
10,Volpiano,83.82,45.2,7.78,42,20,4.7,1594910999
11,Luau,83.77,-10.71,22.22,15,0,8.5,1594910999
12,Yellowknife,58.12,62.46,-114.35,67,20,6.93,1594910803
13,Jining,75.16,35.41,116.58,78,71,6.69,1594911000
14,Padang,80.1,-0.95,100.35,79,100,4.56,1594911000
15,Albany,73.0,42.6,-73.97,67,86,10.54,1594911000
16,Tshela,81.79,-4.98,12.93,57,82,5.57,1594911000
17,East London,66.2,-33.02,27.91,34,0,5.82,1594911001
18,Puerto Ayora,66.99,-0.74,-90.35,90,64,4.0,1594911001
19,Te Anau,29.61,-45.42,167.72,96,15,0.69,1594911001
20,Punta Arenas,28.2,-53.15,-70.92,92,75,8.05,1594911001
21,Inhambane,69.39,-23.86,35.38,60,40,11.41,1594911001
22,Olafsvik,50.95,64.89,-23.71,83,100,11.65,1594911002
23,Barrow,33.8,71.29,-156.79,91,75,8.05,1594911002
24,Shelburne,71.19,44.08,-80.2,83,1,3.36,1594911002
25,Ushuaia,28.4,-54.8,-68.3,92,30,4.7,1594910713
26,Bathsheba,86.0,13.22,-59.52,66,20,14.99,1594911002
27,Ixtapa,80.6,20.7,-105.2,88,40,4.7,1594911003
28,Llangefni,63.19,53.26,-4.31,82,75,8.05,1594911003
29,Dakar,84.2,14.69,-17.44,66,40,6.93,1594911003
30,Pacific Grove,55.63,36.62,-121.92,87,90,3.36,1594911003
31,Kaitangata,42.01,-46.28,169.85,71,40,5.99,1594911004
32,Norman Wells,59.0,65.28,-126.83,93,75,6.93,1594911004
33,Rawson,44.83,-43.3,-65.1,80,100,13.42,1594910796
34,Busselton,53.37,-33.65,115.33,87,78,10.11,1594911004
35,Batticaloa,84.38,7.71,81.69,71,100,5.75,1594911004
36,Margate,66.27,51.38,1.39,73,73,1.99,1594911005
37,Hithadhoo,84.69,-0.6,73.08,69,96,3.22,1594910857
38,Castro,64.02,-24.79,-50.01,61,0,6.04,1594911005
39,Maniitsoq,43.68,65.42,-52.9,87,93,4.25,1594911005
40,Grand Gaube,71.01,-20.01,57.66,73,20,3.0,1594911006
41,Ancud,49.48,-41.87,-73.82,100,90,8.05,1594911006
42,Pevek,41.56,69.7,170.31,99,100,8.75,1594911006
43,Hanahan,87.64,32.92,-80.02,66,40,9.17,1594910722
44,Ouricuri,78.8,-7.88,-40.08,58,93,10.47,1594911007
45,Fes,107.6,34.04,-5.0,16,40,11.41,1594911007
46,Okha,56.97,53.57,142.95,90,96,7.49,1594911007
47,Severnoye,73.11,56.35,78.36,87,0,7.85,1594911007
48,Quimper,71.6,48.0,-4.1,64,20,11.41,1594911008
49,Isangel,71.2,-19.55,169.27,78,5,1.25,1594911008
50,Vaini,73.4,-21.2,-175.2,88,75,4.7,1594911008
51,Rocha,52.43,-34.48,-54.33,59,84,8.23,1594911008
52,Umm Hājar,86.76,13.3,19.7,47,100,6.93,1594911008
53,Santa Fe,57.99,-31.63,-60.7,53,81,5.7,1594911008
54,Ostrovnoy,61.84,68.05,39.51,49,92,14.63,1594911009
55,Mar del Plata,48.4,-38.0,-57.56,76,98,9.17,1594910788
56,Banjar,78.8,-8.19,114.97,100,20,10.29,1594911009
57,Kruisfontein,55.0,-34.0,24.73,50,0,3.02,1594911009
58,Gunnedah,42.8,-30.98,150.25,87,40,3.36,1594911009
59,College,54.54,64.86,-147.8,87,75,1.72,1594911009
60,Sabang,84.02,5.89,95.32,73,42,5.57,1594911010
61,Saint George,81.79,37.1,-113.58,21,1,4.7,1594910966
62,Nikolskoye,61.86,59.7,30.79,59,75,8.95,1594911010
63,Arraial do Cabo,69.8,-22.97,-42.03,64,75,5.82,1594911010
64,George Town,77.65,5.41,100.34,94,40,3.36,1594911010
65,Manali,84.2,13.17,80.27,83,75,3.36,1594911011
66,Nālūt,105.06,30.33,10.85,9,58,12.97,1594911011
67,Thompson,60.8,55.74,-97.86,82,75,16.11,1594911011
68,Nouadhibou,75.2,20.93,-17.03,73,20,11.41,1594911012
69,Deming,77.0,32.27,-107.76,47,1,6.93,1594911012
70,Qaanaaq,44.15,77.48,-69.36,77,68,5.68,1594911012
71,Bredasdorp,66.2,-34.53,20.04,45,68,9.17,1594911012
72,Mataura,39.0,-46.19,168.86,83,30,3.0,1594911013
73,Kawalu,72.79,-7.38,108.21,93,47,2.24,1594911013
74,Bereda,76.32,43.27,-7.54,57,77,17.0,1594911013
75,Souillac,71.6,-20.52,57.52,73,40,6.93,1594911013
